tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-451,Doha,Hard,32,500,O,20260216,1,R0EB,,,Valentin Royer,R,188,FRA,24.72,60,897,H996,,,Pierre-Hugues Herbert,R,188,FRA,34.919,190,313,6-0 6-3,3,R32,62,2,1,48,30,24,8,8,1,2,4,4,51,35,19,2,7,1,6
2026-451,Doha,Hard,32,500,O,20260216,2,P09Z,,,Alexei Popyrin,R,196,AUS,26.535,53,1000,AC39,,,Mubarak Shannan Zayid,R,,QAT,30.845,,,6-0 6-2,3,R32,58,5,1,40,27,23,8,7,1,1,0,6,40,21,9,6,7,3,8
2026-451,Doha,Hard,32,500,O,20260216,3,S0AG,2,,Jannik Sinner,R,191,ITA,24.504,2,10300,M0FH,,,Tomas Machac,R,183,CZE,25.35,31,1510,6-1 6-4,3,R32,70,7,0,42,29,25,11,9,0,0,1,4,64,38,25,10,8,8,11
2026-451,Doha,Hard,32,500,O,20260216,4,M0NI,6,,Jakub Mensik,R,196,CZE,20.46,16,2425,CH12,,,Jan Choinski,R,196,GBR,29.687,124,498,6-7(6) 6-2 6-4,3,R32,138,10,2,93,61,46,16,15,2,4,3,2,103,70,44,16,15,5,10
2026-451,Doha,Hard,32,500,O,20260216,5,F0F1,,,Arthur Fils,R,185,FRA,21.681,40,1110,MQ75,,,Kamil Majchrzak,R,183,POL,30.094,56,920,6-7(5) 6-3 6-4,3,R32,130,5,5,99,65,49,18,16,0,1,7,5,107,70,50,16,15,3,6
2026-451,Doha,Hard,32,500,O,20260216,6,MM58,4,,Daniil Medvedev,R,198,RUS,30.015,11,3010,S0RE,,,Juncheng Shang,L,180,CHN,21.038,261,205,6-4 6-2,3,R32,75,6,1,53,42,33,7,9,1,1,1,2,59,39,25,8,9,5,8
2026-499,Delray Beach,Hard,28,250,O,20260216,1,M0QI,,,Alex Michelsen,R,193,USA,21.478,41,1110,VA25,6,,Valentin Vacherot,R,193,MON,27.253,26,1605,7-6(4) 6-4,3,R32,88,5,2,58,39,36,13,11,0,0,10,3,65,43,36,11,11,2,3
2026-499,Delray Beach,Hard,28,250,O,20260216,2,A0GC,,,Terence Atmane,L,193,FRA,24.104,66,833,K0A3,,,Patrick Kypson,R,188,USA,26.305,105,565,6-3 2-6 6-4,3,R32,103,11,2,74,43,32,20,14,1,3,5,2,72,50,39,11,13,1,3
2026-499,Delray Beach,Hard,28,250,O,20260216,3,W0BH,,,Coleman Wong,R,191,HKG,21.697,137,458,BT72,,,Nuno Borges,R,185,POR,28.991,45,1070,7-6(5) 4-6 6-3,3,R32,127,14,3,100,68,50,19,16,9,11,8,3,98,66,49,17,15,3,5
2026-6932,Rio de Janeiro,Clay,32,500,O,20260216,1,T0A1,,,Thiago Agustin Tirante,R,185,ARG,24.854,92,647,GD64,,,Cristian Garin,R,185,CHI,29.717,89,656,7-5 6-3,3,R32,113,12,0,69,38,27,17,11,5,7,2,5,65,39,24,12,10,4,8
2026-499,Delray Beach,Hard,28,250,O,20260217,4,TD51,8,,Frances Tiafoe,R,188,USA,28.077,28,1550,H0BH,,,Rinky Hijikata,R,178,AUS,24.983,113,546,6-4 6-4,3,R32,73,6,0,48,34,32,9,10,1,1,5,1,59,34,24,15,10,5,7
2026-499,Delray Beach,Hard,28,250,O,20260217,5,GC88,,,Marcos Giron,R,180,USA,32.569,64,855,SY67,,,Sho Shimabukuro,R,180,JPN,28.553,135,466,6-3 7-5,3,R32,86,2,2,75,40,28,25,11,9,9,10,2,59,39,30,7,10,3,5
2026-6932,Rio de Janeiro,Clay,32,500,O,20260217,2,H997,,,Yannick Hanfmann,R,193,GER,34.264,90,653,R0A7,,,Joao Lucas Reis Da Silva,R,178,BRA,25.897,207,291,7-6(3) 6-4,3,R32,117,6,1,69,50,40,8,11,2,4,1,3,79,54,36,9,11,6,9
2026-6932,Rio de Janeiro,Clay,32,500,O,20260217,3,L987,,,Dusan Lajovic,R,183,SRB,35.636,129,485,AE14,7,,Daniel Altmaier,R,188,GER,27.433,54,961,6-4 7-6(7),3,R32,121,2,1,73,56,44,7,11,1,2,8,2,89,56,39,13,11,6,8
2026-6932,Rio de Janeiro,Clay,32,500,O,20260217,4,B0ID,,,Ignacio Buse,R,183,PER,21.9,91,648,RD48,,,Igor Marcondes,L,185,BRA,28.674,348,138,4-6 7-5 6-4,3,R32,162,3,1,113,76,55,18,16,12,14,6,2,86,53,40,19,16,3,6
2026-6932,Rio de Janeiro,Clay,32,500,O,20260217,5,KI82,,,Vit Kopriva,R,178,CZE,28.676,87,660,H0DU,,,Gustavo Heide,R,191,BRA,23.97,258,207,6-2 7-6(5),3,R32,109,2,1,65,42,30,17,10,7,8,1,1,66,36,23,16,10,2,5
2026-6932,Rio de Janeiro,Clay,32,500,O,20260217,6,TE30,,,Alejandro Tabilo,L,188,CHI,28.712,68,808,N0AM,,,Emilio Nava,R,185,USA,24.211,76,710,6-3 6-3,3,R32,63,3,0,42,35,29,7,9,0,0,6,3,53,38,25,6,9,4,7
2026-451,Doha,Hard,32,500,O,20260217,7,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.79,1,13150,RC91,,,Arthur Rinderknech,R,196,FRA,30.574,30,1530,6-4 7-6(5),3,R32,107,2,1,69,53,45,8,11,2,2,6,1,83,56,42,13,11,5,6
2026-451,Doha,Hard,32,500,O,20260217,8,KE29,7,,Karen Khachanov,R,198,RUS,29.744,17,2360,M0HU,,,Shintaro Mochizuki,R,175,JPN,22.713,117,525,6-1 3-6 6-4,3,R32,115,7,2,74,46,35,12,13,2,5,6,7,96,51,29,22,13,8,13
2026-451,Doha,Hard,32,500,O,20260217,9,L0BV,8,,Jiri Lehecka,R,185,CZE,24.277,22,1860,B0CD,,,Jenson Brooksby,R,193,USA,25.311,47,1042,6-3 6-3,3,R32,82,5,3,59,42,32,8,9,4,5,0,3,63,42,24,9,9,3,7
2026-451,Doha,Hard,32,500,O,20260217,10,BU13,,,Zizou Bergs,R,185,BEL,26.71,44,1080,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.615,58,905,6-3 6-7(5) 6-4,3,R32,135,17,2,101,61,48,26,16,1,1,7,2,89,64,50,13,15,2,4
2026-451,Doha,Hard,32,500,O,20260217,11,F724,,,Marton Fucsovics,R,188,HUN,34.026,61,891,HF80,,,Hady Habib,R,188,LBN,27.493,334,143,6-3 6-3,3,R32,70,1,2,52,39,26,9,9,2,3,1,6,55,29,20,10,9,3,7
2026-451,Doha,Hard,32,500,O,20260217,12,HB64,,,Quentin Halys,R,191,FRA,29.311,72,762,CD85,,,Pablo Carreno Busta,R,188,ESP,34.604,123,504,4-6 7-5 6-3,3,R32,143,14,2,91,47,40,23,16,5,7,4,0,94,62,40,18,15,1,4
2026-451,Doha,Hard,32,500,O,20260217,13,M0CI,,,Fabian Marozsan,R,193,HUN,26.363,48,1040,HH26,,,Ugo Humbert,L,188,FRA,27.647,36,1285,6-3 6-1,3,R32,57,1,1,39,30,26,6,8,0,0,1,2,47,25,14,11,8,3,7
2026-451,Doha,Hard,32,500,O,20260217,14,TE51,,,Stefanos Tsitsipas,R,193,GRE,27.518,33,1485,EA13,,,Moez Echargui,R,178,TUN,33.103,139,449,6-4 6-4,3,R32,84,5,0,54,33,27,14,10,0,0,4,1,63,44,31,8,10,5,7
2026-451,Doha,Hard,32,500,O,20260217,15,Z371,,,Zhizhen Zhang,R,193,CHN,29.339,319,155,CF59,,,Roberto Carballes Baena,R,183,ESP,32.906,175,350,6-4 6-4,3,R32,74,10,0,60,40,35,10,10,1,1,7,2,54,37,28,8,10,0,2
2026-451,Doha,Hard,32,500,O,20260218,16,RE44,5,,Andrey Rublev,R,188,RUS,28.331,14,2510,D0C1,,,Jesper de Jong,R,180,NED,25.72,86,665,6-4 6-3,3,R32,78,4,2,54,34,22,10,9,2,4,5,1,59,36,22,9,10,3,8
